ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,LS1-DamageStateWeights,LS2-Family,LS2-Theta_0,LS2-Theta_1,LS2-DamageStateWeights,LS3-Family,LS3-Theta_0,LS3-Theta_1,LS3-DamageStateWeights,LS4-Family,LS4-Theta_0,LS4-Theta_1,LS4-DamageStateWeights
LF.C2.H.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.09,0.4,,lognormal,0.15,0.4,,lognormal,0.31,0.4,,lognormal,0.52,0.4,0.95 | 0.05
LF.C3.L.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.12,0.4,,lognormal,0.17,0.4,,lognormal,0.26,0.4,,lognormal,0.44,0.4,0.85 | 0.15
LF.C3.L.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.1,0.4,,lognormal,0.14,0.4,,lognormal,0.21,0.4,,lognormal,0.35,0.4,0.85 | 0.15
LF.C3.L.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.12,0.4,,lognormal,0.17,0.4,,lognormal,0.26,0.4,,lognormal,0.44,0.4,0.85 | 0.15
LF.C3.L.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.1,0.4,,lognormal,0.14,0.4,,lognormal,0.21,0.4,,lognormal,0.35,0.4,0.85 | 0.15
LF.C3.M.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.11,0.4,,lognormal,0.17,0.4,,lognormal,0.32,0.4,,lognormal,0.51,0.4,0.87 | 0.13
LF.C3.M.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.09,0.4,,lognormal,0.14,0.4,,lognormal,0.25,0.4,,lognormal,0.41,0.4,0.87 | 0.13
LF.C3.M.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.11,0.4,,lognormal,0.17,0.4,,lognormal,0.32,0.4,,lognormal,0.51,0.4,0.87 | 0.13
LF.C3.M.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.09,0.4,,lognormal,0.14,0.4,,lognormal,0.25,0.4,,lognormal,0.41,0.4,0.87 | 0.13
LF.C3.H.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.09,0.4,,lognormal,0.16,0.4,,lognormal,0.33,0.4,,lognormal,0.53,0.4,0.9 | 0.1
LF.C3.H.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.08,0.4,,lognormal,0.13,0.4,,lognormal,0.27,0.4,,lognormal,0.43,0.4,0.9 | 0.1
LF.C3.H.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.09,0.4,,lognormal,0.16,0.4,,lognormal,0.33,0.4,,lognormal,0.53,0.4,0.9 | 0.1
LF.C3.H.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.08,0.4,,lognormal,0.13,0.4,,lognormal,0.27,0.4,,lognormal,0.43,0.4,0.9 | 0.1
LF.PC1.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.2,0.4,,lognormal,0.35,0.4,,lognormal,0.72,0.4,,lognormal,1.25,0.4,0.85 | 0.15
LF.PC1.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.18,0.4,,lognormal,0.24,0.4,,lognormal,0.44,0.4,,lognormal,0.71,0.4,0.85 | 0.15
LF.PC1.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.13,0.4,,lognormal,0.17,0.4,,lognormal,0.25,0.4,,lognormal,0.45,0.4,0.85 | 0.15
LF.PC1.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.11,0.4,,lognormal,0.14,0.4,,lognormal,0.21,0.4,,lognormal,0.35,0.4,0.85 | 0.15
LF.PC2.L.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.24,0.4,,lognormal,0.36,0.4,,lognormal,0.69,0.4,,lognormal,1.23,0.4,0.85 | 0.15
LF.PC2.L.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.18,0.4,,lognormal,0.25,0.4,,lognormal,0.4,0.4,,lognormal,0.74,0.4,0.85 | 0.15
LF.PC2.L.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.13,0.4,,lognormal,0.15,0.4,,lognormal,0.24,0.4,,lognormal,0.44,0.4,0.85 | 0.15
LF.PC2.L.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.1,0.4,,lognormal,0.13,0.4,,lognormal,0.19,0.4,,lognormal,0.35,0.4,0.85 | 0.15
LF.PC2.M.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.17,0.4,,lognormal,0.29,0.4,,lognormal,0.67,0.4,,lognormal,1.51,0.4,0.87 | 0.13
LF.PC2.M.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.15,0.4,,lognormal,0.21,0.4,,lognormal,0.45,0.4,,lognormal,0.86,0.4,0.87 | 0.13
LF.PC2.M.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.11,0.4,,lognormal,0.16,0.4,,lognormal,0.31,0.4,,lognormal,0.52,0.4,0.87 | 0.13
LF.PC2.M.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.09,0.4,,lognormal,0.13,0.4,,lognormal,0.24,0.4,,lognormal,0.42,0.4,0.87 | 0.13
LF.PC2.H.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.12,0.4,,lognormal,0.23,0.4,,lognormal,0.63,0.4,,lognormal,1.49,0.4,0.9 | 0.1
LF.PC2.H.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.12,0.4,,lognormal,0.19,0.4,,lognormal,0.46,0.4,,lognormal,0.9,0.4,0.9 | 0.1
LF.PC2.H.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.11,0.4,,lognormal,0.16,0.4,,lognormal,0.31,0.4,,lognormal,0.55,0.4,0.9 | 0.1
LF.PC2.H.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.09,0.4,,lognormal,0.13,0.4,,lognormal,0.25,0.4,,lognormal,0.43,0.4,0.9 | 0.1
LF.RM1.L.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.3,0.4,,lognormal,0.46,0.4,,lognormal,0.93,0.4,,lognormal,1.57,0.4,0.87 | 0.13
LF.RM1.L.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.22,0.4,,lognormal,0.3,0.4,,lognormal,0.5,0.4,,lognormal,0.85,0.4,0.87 | 0.13
LF.RM1.L.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.16,0.4,,lognormal,0.2,0.4,,lognormal,0.29,0.4,,lognormal,0.54,0.4,0.87 | 0.13
LF.RM1.L.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.13,0.4,,lognormal,0.16,0.4,,lognormal,0.24,0.4,,lognormal,0.43,0.4,0.87 | 0.13
LF.RM1.M.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.2,0.4,,lognormal,0.37,0.4,,lognormal,0.81,0.4,,lognormal,1.9,0.4,0.9 | 0.1
LF.RM1.M.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.18,0.4,,lognormal,0.26,0.4,,lognormal,0.51,0.4,,lognormal,1.03,0.4,0.9 | 0.1
LF.RM1.M.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.14,0.4,,lognormal,0.19,0.4,,lognormal,0.35,0.4,,lognormal,0.63,0.4,0.9 | 0.1
LF.RM1.M.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.11,0.4,,lognormal,0.15,0.4,,lognormal,0.28,0.4,,lognormal,0.5,0.4,0.9 | 0.1
LF.RM2.L.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.26,0.4,,lognormal,0.42,0.4,,lognormal,0.87,0.4,,lognormal,1.49,0.4,0.87 | 0.13
LF.RM2.L.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.2,0.4,,lognormal,0.28,0.4,,lognormal,0.47,0.4,,lognormal,0.81,0.4,0.87 | 0.13
LF.RM2.L.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.14,0.4,,lognormal,0.18,0.4,,lognormal,0.28,0.4,,lognormal,0.51,0.4,0.87 | 0.13
LF.RM2.L.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.12,0.4,,lognormal,0.15,0.4,,lognormal,0.22,0.4,,lognormal,0.41,0.4,0.87 | 0.13
LF.RM2.M.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.17,0.4,,lognormal,0.33,0.4,,lognormal,0.75,0.4,,lognormal,1.83,0.4,0.9 | 0.1
LF.RM2.M.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.16,0.4,,lognormal,0.23,0.4,,lognormal,0.48,0.4,,lognormal,0.99,0.4,0.9 | 0.1
LF.RM2.M.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.12,0.4,,lognormal,0.17,0.4,,lognormal,0.34,0.4,,lognormal,0.6,0.4,0.9 | 0.1
